S.No.,NepaliDescription,EnglishDescription,Description,Category,Rate (Rs. per 1000),,,,,,,,,,,,,,,,,,,,,,,,
92,र्जोपवे,Ropeway,Ropeway र्जोपवे,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
93,लघ उद्यम [१५ लाख रूपैंया भन्दा कम बीमाङक भएको],Micro Enterprises with values at risk not exceeding Rs 15 Lakhs,Micro Enterprises with values at risk not exceeding Rs 15 Lakhs लघ उद्यम [१५ लाख रूपैंया भन्दा कम बीमाङक भएको],सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
94,लर्ज,Lodge,Lodge लर्ज,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
95,नवद्यालय,School,School नवद्यालय,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
96,नवद्यत (र्जल नवद्यत मात्र),Hydro electricity only,Hydro electricity only नवद्यत (र्जल नवद्यत मात्र),सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
97,नवमािस्थल टनमगिल [भवि, क्याफे , क्याफे  नवमािस्थल टनमगिल [भवि, पसल लर्ायत सब किा समावेश र्रिएको],Airport Terminal Buildings [including all facilities like Cafes, Shops etc.],सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,
98,नवको,Lid,Lid नवको,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
99,नवश्वनवद्यालय,University,University नवश्वनवद्यालय,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
100,शैनक्षक के न्ि, शैनक्षक पिामशगर्ह, शैनक्षक पिामशगर्ह शैनक्षक के न्ि, अध्ययि तथा अिसन्धाि के न्ि,Educational Center, Education Consultancy, Education and Research Center,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,
101,सग्रहालय,Museum,Museum सग्रहालय,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
102,सिक, िार्जमार्ग, िार्जमार्ग सिक, सनभगस िोि,Road, Highway and Service Road,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,
103,सभार्ह,City Hall,City Hall सभार्ह,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
